Year,Week,Game.Date,Team,Actual_Team_Points,Predicted_Team_Points,Opponent,Actual_Opponent_Points,Predicted_Opponent_Points,Predicted_Total_Points,Actual_Total_Points
2009,SuperBowl,2010-02-07,New Orleans Saints,31,23.7253546986866,Indianapolis Colts,17,25.7788541384011,49.5042088370878,48
2010,Wild Card,2011-01-08,Seattle Seahawks,41,20.5854742580948,New Orleans Saints,36,26.2255049076641,46.8109791657588,77
2010,Wild Card,2011-01-08,New York Jets,17,22.7128314031986,Indianapolis Colts,16,25.5496439776641,48.2624753808627,33
2010,Wild Card,2011-01-09,Philadelphia Eagles,16,20.5405518372261,Green Bay Packers,21,22.8573703162045,43.3979221534306,37
2010,Wild Card,2011-01-09,Baltimore Ravens,30,22.7605565115222,Kansas City Chiefs,7,23.6325944934027,46.3931510049249,37
2010,Division,2011-01-15,Baltimore Ravens,24,21.389604610449,Pittsburgh Steelers,31,22.6636968893604,44.0533014998094,55
2010,Division,2011-01-15,Green Bay Packers,48,24.6213839252792,Atlanta Falcons,21,21.3567178909753,45.9781018162545,69
2010,Division,2011-01-16,Seattle Seahawks,24,19.8841522031948,Chicago Bears,35,20.4579417647556,40.3420939679504,59
2010,Division,2011-01-16,New York Jets,28,20.7795911112724,New England Patriot,21,30.2402381901522,51.0198293014246,49
2010,Conf. Champ.,2011-01-23,Green Bay Packers,21,24.1861486521329,Chicago Bears,14,16.8893092616001,41.075457913733,35
2010,Conf. Champ.,2011-01-23,Pittsburgh Steelers,24,22.2478724657491,New York Jets,19,20.1964653300202,42.4443377957693,43
2010,SuperBowl,2011-02-06,Pittsburgh Steelers,25,19.2437365946963,Green Bay Packers,31,21.8602219625417,41.103958557238,56
2011,Wild Card,2012-01-07,Houston Texans,31,22.0380522534897,Cincinnati Bengals,10,20.5218182903708,42.5598705438605,41
2011,Wild Card,2012-01-07,New Orleans Saints,45,29.2340023364979,Detroit Lions,28,27.1784129619998,56.4124152984977,73
2011,Wild Card,2012-01-08,Pittsburgh Steelers,23,21.7906975381638,Denver Broncos,29,18.1648454774484,39.9555430156122,52
2011,Wild Card,2012-01-08,New York Giants,24,24.736970241486,Atlanta Falcons,2,22.8441926844236,47.5811629259096,26
2011,Division,2012-01-14,New England Patriot,45,26.3389969051273,Denver Broncos,10,18.0970960823718,44.4360929874991,55
2011,Division,2012-01-14,San Francisco 49ers,36,24.2305167310214,New Orleans Saints,32,28.9470061554739,53.1775228864954,68
2011,Division,2012-01-15,Baltimore Ravens,20,20.7807914574554,Houston Texans,13,22.4885902427048,43.2693817001602,33
2011,Division,2012-01-15,New York Giants,37,23.0758478421529,Green Bay Packers,20,25.4217333692287,48.4975812113815,57
2011,Conf. Champ.,2012-01-22,San Francisco 49ers,17,20.5426614546332,New York Giants,20,25.116187171002,45.6588486256352,37
2011,Conf. Champ.,2012-01-22,Baltimore Ravens,20,20.2974397682696,New England Patriot,23,27.1764633988446,47.4739031671141,43
2011,SuperBowl,2012-02-05,New York Giants,21,24.2205054007218,New England Patriot,17,25.2742606474873,49.4947660482091,38
2012,Wild Card,2013-01-05,Minnesota Vikings,10,20.6210189477411,Green Bay Packers,24,25.401214670583,46.0222336183241,34
2012,Wild Card,2013-01-05,Houston Texans,19,24.9139374104422,Cincinnati Bengals,13,21.2854129637191,46.1993503741613,32
2012,Wild Card,2013-01-06,Baltimore Ravens,24,23.3778564649229,Indianapolis Colts,9,21.5136309071835,44.8914873721064,33
2012,Wild Card,2013-01-06,Washington Redskins,14,24.8941683542551,Seattle Seahawks,24,21.4554985241634,46.3496668784185,38
2012,Division,2013-01-12,Baltimore Ravens,38,23.7081898800466,Denver Broncos,35,22.3748322810695,46.0830221611161,73
2012,Division,2013-01-12,San Francisco 49ers,45,21.4850123058626,Green Bay Packers,31,25.0384826018782,46.5234949077408,76
2012,Division,2013-01-13,New England Patriot,41,26.3028323666525,Houston Texans,28,22.3036537734625,48.606486140115,69
2012,Division,2013-01-13,Seattle Seahawks,28,23.2203040879527,Atlanta Falcons,30,27.5679953901338,50.7882994780865,58
2012,Conf. Champ.,2013-01-20,Baltimore Ravens,28,21.3766242762158,New England Patriot,13,24.5541090989171,45.9307333751329,41
2012,Conf. Champ.,2013-01-20,San Francisco 49ers,28,23.7306255665035,Atlanta Falcons,24,25.2361585988724,48.9667841653759,52
2012,SuperBowl,2013-02-03,San Francisco 49ers,31,20.0378202574238,Baltimore Ravens,34,23.0031623716513,43.0409826290751,65
2013,Wild Card,2014-01-04,Kansas City Chiefs,44,22.7009690477482,Indianapolis Colts,45,24.125408752143,46.8263777998912,89
2013,Wild Card,2014-01-04,Philadelphia Eagles,24,23.4642045707322,New Orleans Saints,26,25.4149970582246,48.8792016289568,50
